age,nationality,gender,family_size,emirate,employment_status,years_of_experience,current_position,monthly_income,monthly_expenses,net_monthly_income,total_assets,total_liabilities,net_worth,credit_score,dti_ratio,is_eligible,eligibility_score
36,Philippines,Female,2,Umm Al Quwain,unemployed,1,Unemployed,438.47,2508.04,-2069.5699999999997,4922.29,3100.83,1821.46,589,35.36,1,80
43,Pakistan,Male,3,Sharjah,employed,21,Driver,11042.48,2250.45,8792.029999999999,25048.52,12704.5,12344.02,700,5.75,0,20
54,Pakistan,Female,4,Dubai,part_time,11,Unemployed,2039.55,3408.07,-1368.5200000000002,1280.21,1033.63,246.58,515,2.53,1,82
51,Jordan,Male,3,Umm Al Quwain,employed,22,Cleaner,7162.03,2580.34,4581.69,62082.99,18797.33,43285.66,716,13.12,0,25
44,Syria,Male,3,Ras Al Khaimah,unemployed,11,Unemployed,408.95,2111.93,-1702.9799999999998,2346.56,5004.86,-2658.3,525,61.19,1,95
46,Pakistan,Male,4,Ajman,part_time,4,Unemployed,3095.68,3185.06,-89.38000000000011,27998.9,16941.53,11057.36,592,27.36,1,67
24,Egypt,Male,2,Umm Al Quwain,part_time,2,Unemployed,3394.62,1521.59,1873.03,9062.54,920.05,8142.49,593,1.36,0,57
26,Philippines,Male,3,Umm Al Quwain,employed,1,Manager,2733.23,3174.06,-440.8299999999999,12103.69,6926.09,5177.61,621,12.67,1,75
58,UAE,Male,2,Ajman,unemployed,9,Unemployed,949.15,2830.02,-1880.87,3913.4,306.09,3607.31,546,1.61,1,80
53,Pakistan,Male,5,Abu Dhabi,part_time,4,Unemployed,3209.91,3878.04,-668.1300000000001,38036.21,33216.05,4820.16,627,51.74,1,82
53,Pakistan,Male,5,Umm Al Quwain,part_time,7,Unemployed,3192.92,3776.08,-583.1599999999999,9497.51,16224.08,-6726.57,670,25.41,1,82
58,Syria,Female,3,Fujairah,self_employed,1,Business Owner,14495.48,3429.63,11065.849999999999,45452.85,5219.56,40233.29,794,1.8,0,15
23,Syria,Female,1,Abu Dhabi,unemployed,1,Unemployed,683.01,1285.43,-602.4200000000001,4784.63,16897.51,-12112.87,489,123.7,1,85
55,UAE,Male,2,Ras Al Khaimah,self_employed,7,Business Owner,3536.14,2545.11,991.0299999999997,27013.0,31079.1,-4066.1,663,43.94,1,63
46,Pakistan,Male,4,Abu Dhabi,employed,24,Teacher,2612.78,3293.89,-681.1099999999997,8638.87,14632.96,-5994.09,435,28.0,1,80
39,UAE,Male,2,Ras Al Khaimah,unemployed,7,Unemployed,867.12,2342.8,-1475.6800000000003,3578.95,13596.9,-10017.94,422,78.4,1,90
46,Egypt,Male,2,Ras Al Khaimah,employed,16,Cleaner,8784.59,2301.49,6483.1,84552.95,26428.99,58123.96,840,15.04,0,5
40,Philippines,Female,2,Fujairah,self_employed,12,Business Owner,14461.04,2770.71,11690.330000000002,66137.67,57624.05,8513.63,627,19.92,0,20
40,India,Male,3,Fujairah,self_employed,16,Business Owner,7829.79,2327.78,5502.01,33006.52,24520.59,8485.93,552,15.66,0,35
44,Jordan,Female,4,Umm Al Quwain,part_time,6,Unemployed,1728.02,3138.28,-1410.2600000000002,863.38,10990.58,-10127.2,532,31.8,1,87
56,UAE,Male,5,Ras Al Khaimah,part_time,10,Unemployed,3264.58,4724.76,-1460.1800000000003,29081.05,29782.84,-701.79,644,45.62,1,85
59,UAE,Male,1,Abu Dhabi,unemployed,12,Unemployed,222.58,1675.98,-1453.4,13378.45,2932.1,10446.36,428,65.87,1,75
58,India,Male,2,Abu Dhabi,unemployed,7,Unemployed,374.27,2055.96,-1681.69,12191.99,18944.97,-6752.98,616,253.09,1,90
25,Pakistan,Female,2,Sharjah,employed,3,Manager,2000.0,2859.53,-859.5300000000002,1667.96,9852.5,-8184.54,540,24.63,1,75
49,Jordan,Male,3,Dubai,unemployed,3,Unemployed,118.82,2011.55,-1892.73,9738.15,14920.9,-5182.74,604,627.88,1,95
49,Jordan,Male,6,Abu Dhabi,self_employed,17,Business Owner,3077.59,4126.6,-1049.0100000000002,20271.75,28667.5,-8395.74,672,46.57,1,78
53,Jordan,Female,3,Umm Al Quwain,unemployed,14,Unemployed,891.14,2749.86,-1858.7200000000003,14894.47,1475.93,13418.54,626,8.28,1,80
40,India,Female,6,Umm Al Quwain,self_employed,18,Business Owner,4160.8,3285.38,875.4200000000001,15307.29,19916.63,-4609.34,553,23.93,1,70
24,UAE,Male,5,Dubai,part_time,0,Unemployed,3788.14,4700.89,-912.7500000000005,7025.24,7890.44,-865.2,651,10.41,1,82
49,UAE,Female,2,Sharjah,unemployed,9,Unemployed,188.12,2195.55,-2007.4300000000003,5300.28,11673.12,-6372.84,619,310.26,1,90
58,Egypt,Female,6,Dubai,part_time,10,Unemployed,3245.4,4147.46,-902.06,15833.47,16275.9,-442.43,656,25.08,1,82
34,UAE,Male,5,Ras Al Khaimah,employed,12,Construction Worker,7943.45,4657.28,3286.17,39164.73,21597.2,17567.53,609,13.59,0,35
51,Egypt,Female,5,Sharjah,unemployed,12,Unemployed,164.83,3387.01,-3222.1800000000003,11664.03,9607.4,2056.63,638,291.43,0,95
32,Syria,Male,3,Abu Dhabi,self_employed,9,Business Owner,14608.89,3315.81,11293.08,128982.73,30778.12,98204.61,798,10.53,0,10
22,Jordan,Male,1,Umm Al Quwain,self_employed,3,Business Owner,13241.39,2175.48,11065.91,149963.3,59815.03,90148.27,722,22.59,0,0
58,Pakistan,Male,4,Umm Al Quwain,unemployed,9,Unemployed,849.65,2619.43,-1769.7799999999997,6758.16,2583.19,4174.97,450,15.2,1,85
34,Syria,Male,2,Fujairah,part_time,0,Unemployed,3179.25,2427.19,752.06,17535.7,2271.15,15264.54,653,3.57,1,57
55,India,Female,3,Umm Al Quwain,unemployed,2,Unemployed,520.16,3333.93,-2813.77,8278.6,11218.76,-2940.16,621,107.84,1,95
38,Jordan,Male,1,Umm Al Quwain,part_time,14,Unemployed,2551.34,2141.6,409.74000000000024,9590.42,16100.89,-6510.47,502,31.55,1,72
59,Pakistan,Male,3,Ajman,unemployed,1,Unemployed,350.59,2861.85,-2511.2599999999998,5883.66,8749.5,-2865.84,590,124.78,1,95
55,India,Female,2,Fujairah,unemployed,5,Unemployed,450.91,2865.71,-2414.8,4469.39,10472.05,-6002.65,480,116.12,1,90
26,Egypt,Female,4,Dubai,self_employed,2,Business Owner,14045.64,3133.44,10912.199999999999,53571.77,30252.47,23319.3,633,10.77,0,20
27,Syria,Female,3,Ajman,self_employed,5,Business Owner,4718.7,2843.37,1875.33,16954.71,10745.27,6209.44,650,11.39,0,55
37,Jordan,Female,2,Sharjah,employed,15,Driver,4017.75,2018.5,1999.25,36387.59,18166.77,18220.82,592,22.61,0,45
53,Egypt,Female,2,Sharjah,employed,25,Driver,9170.42,1835.77,7334.65,126832.78,23979.54,102853.24,760,13.07,0,5
43,Jordan,Female,1,Ras Al Khaimah,part_time,0,Unemployed,2836.06,1627.19,1208.87,13413.26,2574.97,10838.29,617,4.54,0,57
48,UAE,Female,1,Fujairah,unemployed,8,Unemployed,481.15,2025.34,-1544.19,7674.86,3139.55,4535.3,447,32.63,1,75
38,Pakistan,Male,2,Dubai,unemployed,0,Unemployed,84.52,2395.92,-2311.4,14793.85,10731.81,4062.04,455,634.87,1,85
43,Jordan,Female,2,Dubai,self_employed,14,Business Owner,8012.95,2621.21,5391.74,24768.82,11077.98,13690.83,606,6.91,0,15
24,Jordan,Female,5,Sharjah,self_employed,3,Business Owner,8917.48,2657.21,6260.2699999999995,78163.61,34293.95,43869.66,714,19.23,0,20
46,Pakistan,Female,4,Fujairah,unemployed,11,Unemployed,20.07,2776.37,-2756.2999999999997,3171.72,6549.95,-3378.23,443,1631.78,1,95
46,Pakistan,Male,5,Umm Al Quwain,self_employed,4,Business Owner,6616.36,3957.17,2659.1899999999996,43570.75,21694.38,21876.36,633,16.39,0,35
29,UAE,Female,3,Umm Al Quwain,self_employed,3,Business Owner,6924.04,2407.4,4516.639999999999,72975.32,38415.54,34559.78,658,27.74,0,25
27,Philippines,Female,3,Fujairah,part_time,0,Unemployed,1518.84,2205.6,-686.76,5480.35,9756.2,-4275.84,493,32.12,1,87
32,Egypt,Female,1,Sharjah,unemployed,13,Unemployed,173.37,2276.12,-2102.75,1203.51,10490.23,-9286.72,439,302.54,1,85
58,Philippines,Female,6,Abu Dhabi,employed,5,Construction Worker,4468.3,5036.87,-568.5699999999997,33597.52,11252.89,22344.63,678,12.59,1,65
23,Jordan,Female,3,Abu Dhabi,unemployed,1,Unemployed,279.98,3185.09,-2905.11,2805.66,6473.58,-3667.93,418,115.61,1,95
41,UAE,Male,3,Ras Al Khaimah,unemployed,0,Unemployed,529.84,3073.01,-2543.17,11516.69,1745.8,9770.89,525,16.47,1,85
32,Syria,Male,5,Fujairah,part_time,12,Unemployed,2831.47,2524.38,307.0899999999997,5049.06,2688.29,2360.77,550,4.75,1,82
31,Philippines,Male,6,Abu Dhabi,part_time,12,Unemployed,3211.43,2937.24,274.19000000000005,9858.87,54.22,9804.65,508,0.08,1,72
32,Egypt,Male,3,Abu Dhabi,employed,5,Nurse,3898.11,2541.31,1356.8000000000002,17210.39,18590.58,-1380.19,561,23.85,1,60
35,Syria,Female,5,Umm Al Quwain,employed,10,Teacher,5129.88,3778.74,1351.1400000000003,68928.01,12687.48,56240.53,704,12.37,0,35
58,UAE,Female,2,Fujairah,unemployed,13,Unemployed,825.13,1779.61,-954.4799999999999,3535.38,12675.17,-9139.8,461,76.81,1,90
25,Philippines,Female,2,Fujairah,part_time,1,Unemployed,2481.11,2724.9,-243.78999999999996,6587.02,7538.89,-951.86,578,15.19,1,82
59,Philippines,Female,3,Fujairah,part_time,14,Unemployed,2756.8,2217.98,538.8200000000002,13493.62,7677.82,5815.79,605,13.93,1,77
61,Syria,Female,2,Abu Dhabi,part_time,6,Unemployed,1792.25,2909.75,-1117.5,9415.62,6698.11,2717.51,591,18.69,1,77
36,Syria,Female,5,Sharjah,part_time,0,Unemployed,2833.65,4545.34,-1711.69,11828.96,3033.5,8795.46,496,5.35,1,87
58,Pakistan,Male,4,Sharjah,self_employed,1,Business Owner,2435.92,3296.77,-860.8499999999999,11436.88,17535.31,-6098.43,496,35.99,1,80
59,India,Male,3,Ajman,unemployed,14,Unemployed,846.45,2029.48,-1183.03,5959.31,15945.91,-9986.6,404,94.19,1,95
50,Jordan,Male,2,Ajman,unemployed,11,Unemployed,771.88,1518.3,-746.42,8976.64,11310.17,-2333.53,425,73.26,1,90
64,India,Female,3,Umm Al Quwain,part_time,3,Unemployed,1953.99,3435.21,-1481.22,8750.88,8017.03,733.85,446,20.51,1,82
47,Pakistan,Female,5,Ras Al Khaimah,employed,11,Construction Worker,4957.14,4588.45,368.6900000000005,9869.07,2015.89,7853.17,610,2.03,1,65
61,Pakistan,Female,5,Ajman,employed,11,Cashier,7079.75,3298.64,3781.11,14824.51,1546.42,13278.09,639,1.09,0,35
62,Syria,Female,5,Sharjah,unemployed,6,Unemployed,122.81,2966.17,-2843.36,2482.81,3726.42,-1243.61,614,151.71,1,100
22,Pakistan,Female,5,Fujairah,employed,2,Cleaner,4085.87,2945.75,1140.12,26276.3,15137.78,11138.52,552,18.52,0,55
30,Syria,Female,2,Abu Dhabi,unemployed,8,Unemployed,4.63,2000.25,-1995.62,5972.53,10747.91,-4775.38,474,11606.82,1,90
59,Philippines,Male,2,Fujairah,part_time,1,Unemployed,2702.09,2877.68,-175.5899999999997,8806.02,656.93,8149.09,578,1.22,1,77
45,UAE,Male,3,Ajman,part_time,3,Unemployed,2547.31,3446.72,-899.4099999999999,5435.91,11611.77,-6175.86,549,22.79,1,87
47,Egypt,Male,1,Abu Dhabi,self_employed,17,Business Owner,4314.47,2353.28,1961.19,10203.2,8292.48,1910.71,562,9.61,0,45
61,Pakistan,Female,3,Ajman,self_employed,1,Business Owner,6029.18,2515.17,3514.01,39875.22,28593.02,11282.2,661,23.71,0,30
53,India,Female,3,Ajman,self_employed,17,Business Owner,2475.15,2649.72,-174.5699999999997,8472.62,1314.17,7158.44,477,2.65,1,75
23,UAE,Male,3,Dubai,self_employed,1,Business Owner,7209.92,2807.35,4402.57,20866.82,8821.7,12045.12,654,6.12,0,30
60,Syria,Male,4,Dubai,employed,9,Warehouse Worker,5999.84,2958.34,3041.5,11777.04,3123.05,8653.99,677,2.6,0,35
28,Philippines,Male,4,Fujairah,unemployed,0,Unemployed,551.72,2633.17,-2081.45,2941.7,10110.16,-7168.46,471,91.62,1,95
58,UAE,Male,2,Umm Al Quwain,part_time,0,Unemployed,2891.8,2581.22,310.5800000000004,12079.72,19774.58,-7694.85,431,34.19,1,77
64,India,Male,6,Sharjah,employed,19,Nurse,4093.86,4503.83,-409.9699999999998,12174.45,5862.95,6311.5,675,7.16,1,70
39,UAE,Male,1,Ajman,self_employed,7,Business Owner,11566.76,2217.75,9349.01,35961.0,31046.21,4914.79,528,13.42,0,15
39,Pakistan,Male,5,Fujairah,employed,14,Accountant,3192.33,4380.26,-1187.9300000000003,17707.07,684.56,17022.51,519,1.07,1,65
26,Egypt,Male,2,Ras Al Khaimah,self_employed,6,Business Owner,6715.85,2791.6,3924.2500000000005,25365.74,34185.51,-8819.78,607,25.45,0,35
45,Syria,Male,1,Fujairah,employed,23,Cashier,10197.28,2382.44,7814.84,81238.51,15015.89,66222.62,813,7.36,0,0
38,India,Male,2,Ajman,self_employed,8,Business Owner,11085.0,2103.83,8981.17,48343.0,23641.73,24701.27,603,10.66,1,15
47,Syria,Female,3,Fujairah,employed,12,Cleaner,7186.9,3280.65,3906.2499999999995,47076.32,29081.74,17994.58,640,20.23,0,30
59,Syria,Female,1,Fujairah,unemployed,4,Unemployed,651.42,2195.69,-1544.27,3096.32,219.92,2876.4,612,1.69,1,75
48,Philippines,Female,5,Umm Al Quwain,part_time,5,Unemployed,3330.46,3001.75,328.71000000000004,27158.43,18816.76,8341.67,637,28.25,1,72
38,Jordan,Female,3,Umm Al Quwain,self_employed,14,Business Owner,2610.56,2099.31,511.25,11070.5,1655.97,9414.53,435,3.17,1,70
47,UAE,Female,1,Ajman,part_time,10,Unemployed,2221.73,1626.81,594.9200000000001,10785.69,5942.43,4843.25,626,13.37,1,67
55,Philippines,Female,2,Umm Al Quwain,self_employed,5,Business Owner,8288.81,1904.87,6383.94,90179.56,13910.76,76268.8,780,8.39,1,5
64,India,Male,2,Umm Al Quwain,part_time,9,Unemployed,2685.59,2016.58,669.0100000000002,5273.1,8255.87,-2982.77,460,15.37,1,77
64,India,Female,3,Fujairah,self_employed,7,Business Owner,2987.13,1939.98,1047.15,35.09,19353.99,-19318.9,501,32.4,1,70
55,India,Male,1,Fujairah,unemployed,4,Unemployed,91.58,2300.78,-2209.2000000000003,2052.28,19004.75,-16952.47,454,1037.6,1,85
33,Pakistan,Female,3,Fujairah,unemployed,7,Unemployed,758.39,2950.11,-2191.7200000000003,11385.54,14482.07,-3096.53,607,95.48,1,95
27,Jordan,Female,6,Dubai,part_time,1,Unemployed,2723.56,3297.27,-573.71,14815.02,18881.19,-4066.17,446,34.66,1,92
53,India,Male,4,Sharjah,part_time,6,Unemployed,3998.38,3267.19,731.19,21562.35,13011.36,8551.0,578,16.27,1,67
28,Jordan,Female,2,Sharjah,part_time,7,Unemployed,3927.65,2916.4,1011.25,21597.5,30585.36,-8987.87,666,38.94,1,62
56,Pakistan,Female,2,Sharjah,self_employed,10,Business Owner,10379.11,2475.25,7903.860000000001,67410.64,35837.25,31573.4,744,17.26,0,10
55,India,Female,5,Abu Dhabi,unemployed,10,Unemployed,339.87,4139.44,-3799.5699999999997,980.35,6305.81,-5325.46,640,92.77,1,100
25,India,Male,4,Fujairah,unemployed,0,Unemployed,737.86,3192.35,-2454.49,6402.26,17533.31,-11131.05,593,118.81,1,95
56,Pakistan,Female,5,Umm Al Quwain,self_employed,13,Business Owner,8876.18,4653.76,4222.42,123841.82,59886.38,63955.44,728,33.73,0,15
50,Egypt,Female,1,Sharjah,unemployed,11,Unemployed,627.51,2248.41,-1620.8999999999999,14761.25,15365.47,-604.22,552,122.43,1,85
60,UAE,Male,3,Dubai,self_employed,1,Business Owner,5104.1,1998.85,3105.2500000000005,34823.55,12191.65,22631.9,667,11.94,1,30
39,Philippines,Female,2,Umm Al Quwain,unemployed,8,Unemployed,277.27,2865.51,-2588.2400000000002,676.51,2189.35,-1512.84,520,39.48,1,85
45,Pakistan,Male,1,Ajman,employed,26,Accountant,11032.51,2339.95,8692.560000000001,122224.85,9917.61,112307.25,738,4.49,0,0
45,Pakistan,Female,3,Sharjah,unemployed,12,Unemployed,989.18,3138.04,-2148.86,974.8,8031.6,-7056.81,492,40.6,1,93
31,Syria,Female,1,Ajman,employed,8,Construction Worker,3740.07,2135.5,1604.5700000000002,17254.38,1156.85,16097.53,546,1.55,0,40
44,UAE,Male,5,Ras Al Khaimah,unemployed,2,Unemployed,597.27,3660.08,-3062.81,3903.5,10304.96,-6401.46,481,86.27,1,100
38,India,Male,2,Umm Al Quwain,unemployed,2,Unemployed,224.44,1835.73,-1611.29,8054.62,11858.8,-3804.18,541,264.19,1,90
58,Pakistan,Male,1,Ajman,part_time,8,Unemployed,2477.92,1527.55,950.3700000000001,7150.15,887.53,6262.62,625,1.79,1,67
33,India,Female,1,Dubai,self_employed,8,Business Owner,14110.66,2082.26,12028.4,56580.82,18895.7,37685.12,737,6.7,0,5
29,Philippines,Male,4,Sharjah,unemployed,9,Unemployed,532.6,4120.46,-3587.86,1642.03,17889.6,-16247.57,604,167.95,1,95
38,Jordan,Male,1,Ras Al Khaimah,unemployed,12,Unemployed,480.59,1910.89,-1430.3000000000002,12370.21,6956.18,5414.03,497,72.37,1,80
61,UAE,Male,3,Ras Al Khaimah,employed,12,Cleaner,4500.13,3121.04,1379.0900000000001,23244.11,30781.15,-7537.03,591,34.2,1,60
54,Pakistan,Female,2,Sharjah,employed,15,Warehouse Worker,7476.87,2546.21,4930.66,57609.85,39023.63,18586.23,606,26.1,0,25
26,Jordan,Female,5,Sharjah,employed,1,Manager,3686.98,3517.13,169.8499999999999,35767.5,3164.65,32602.86,659,4.29,0,55
64,Syria,Male,2,Abu Dhabi,part_time,6,Unemployed,1901.9,2726.95,-825.0499999999997,12482.01,10149.35,2332.66,438,26.68,1,77
23,Jordan,Male,2,Dubai,self_employed,2,Business Owner,6243.64,2339.77,3903.8700000000003,18109.07,7533.91,10575.16,687,6.03,0,25
56,UAE,Male,1,Umm Al Quwain,self_employed,19,Business Owner,11893.36,1849.52,10043.84,145188.96,23802.97,121385.99,759,10.01,0,0
36,Philippines,Female,5,Fujairah,part_time,12,Unemployed,3472.02,2817.01,655.0099999999998,31979.89,33313.53,-1333.64,691,47.97,1,80
38,India,Female,4,Ajman,self_employed,17,Business Owner,9568.22,2826.35,6741.869999999999,100719.02,7515.81,93203.21,749,3.93,0,10
35,Pakistan,Male,6,Ras Al Khaimah,employed,11,Cleaner,4328.08,4747.31,-419.2300000000005,5860.54,442.47,5418.07,633,0.51,1,70
36,India,Male,4,Umm Al Quwain,employed,10,Warehouse Worker,5565.82,3534.92,2030.8999999999996,41213.19,11756.05,29457.14,628,10.56,0,30
25,Syria,Male,3,Umm Al Quwain,self_employed,5,Business Owner,13104.73,2748.64,10356.09,127369.7,21410.59,105959.11,731,8.17,0,10
23,Syria,Male,4,Ajman,part_time,3,Unemployed,3136.28,2673.85,462.4300000000003,38280.22,7833.85,30446.37,591,12.49,0,57
50,India,Male,5,Ajman,part_time,4,Unemployed,3096.31,3354.23,-257.9200000000001,14597.53,19679.55,-5082.02,500,31.78,1,82
59,UAE,Female,2,Sharjah,self_employed,3,Business Owner,2404.74,2477.5,-72.76000000000022,5527.9,17287.16,-11759.27,607,35.94,1,75
48,Jordan,Male,6,Fujairah,unemployed,13,Unemployed,203.7,2946.14,-2742.44,2304.87,9073.87,-6769.0,449,222.73,1,100
28,Pakistan,Female,3,Ras Al Khaimah,part_time,4,Unemployed,3779.59,3541.52,238.07000000000016,11491.06,9241.95,2249.11,698,12.23,1,67
38,UAE,Female,3,Dubai,employed,19,Cashier,4029.13,2684.87,1344.2600000000002,7247.31,11639.43,-4392.12,616,14.44,1,60
23,Syria,Female,4,Ajman,employed,2,Manager,3077.58,4167.14,-1089.5600000000004,10235.32,9291.97,943.35,563,15.1,1,65
39,Pakistan,Male,3,Ras Al Khaimah,unemployed,14,Unemployed,721.89,2982.57,-2260.6800000000003,11355.89,19052.97,-7697.08,568,131.97,1,95
29,Syria,Female,4,Abu Dhabi,part_time,2,Unemployed,1762.33,2608.29,-845.96,14799.94,2849.91,11950.03,479,8.09,1,77
43,India,Male,2,Fujairah,self_employed,1,Business Owner,9275.43,1514.66,7760.77,62439.97,33474.14,28965.83,632,18.04,0,15
62,Pakistan,Male,2,Abu Dhabi,employed,0,Manager,2576.0,1983.14,592.8599999999999,14662.0,4017.18,10644.81,521,7.8,1,60
36,Jordan,Male,2,Ras Al Khaimah,self_employed,12,Business Owner,3359.38,2454.65,904.73,29726.65,4010.76,25715.89,505,5.97,0,50
30,Pakistan,Male,1,Dubai,unemployed,8,Unemployed,709.06,2245.16,-1536.1,10711.3,16034.56,-5323.26,461,113.07,1,85
28,Pakistan,Male,4,Fujairah,unemployed,3,Unemployed,597.48,3746.05,-3148.57,7213.56,815.08,6398.48,587,6.82,1,85
63,India,Female,3,Ajman,part_time,1,Unemployed,1650.88,2244.79,-593.9099999999999,2393.17,17435.67,-15042.5,521,52.81,1,92
40,Egypt,Female,6,Ras Al Khaimah,unemployed,3,Unemployed,744.28,5053.95,-4309.67,6504.83,873.23,5631.6,443,5.87,1,90
39,Philippines,Male,1,Umm Al Quwain,employed,18,Security Guard,8728.75,1474.15,7254.6,149523.41,58613.62,90909.79,830,33.58,0,0
